Index,GameTime,DspTime,Instrument,InputLine,InputPitch,FinalPitch,MaxClipIdx,ClipName,Volume,JavaMapping,WasClamped,ClampedFrom,Status
856,122.304,1982.2353,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
857,122.304,1982.2353,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
858,122.354,1982.2875,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
859,122.455,1982.3862,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
860,122.455,1982.3862,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
861,122.455,1982.3862,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
862,122.455,1982.3862,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
863,122.670,1982.6068,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
864,122.670,1982.6068,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
865,122.670,1982.6068,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
866,122.670,1982.6068,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
867,122.806,1982.7403,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
868,122.806,1982.7403,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
869,122.806,1982.7403,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
870,122.806,1982.7403,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
871,123.137,1983.0770,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
872,123.138,1983.0770,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
873,123.138,1983.0770,Piano,3,3,13,44,piano_snd013,0.15,True,True,3,PLAYED
874,123.187,1983.1176,Piano,1,3,22,44,piano_snd022,0.15,True,True,3,PLAYED
875,123.487,1983.4195,Piano,4,7,12,44,piano_snd012,0.15,True,True,7,PLAYED
876,123.488,1983.4195,Piano,1,5,24,44,piano_snd024,0.15,True,True,5,PLAYED
877,123.488,1983.4195,Piano,3,7,17,44,piano_snd017,0.15,True,True,7,PLAYED
878,123.488,1983.4195,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
879,123.821,1983.7620,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
880,123.821,1983.7620,Piano,1,6,25,44,piano_snd025,0.15,True,True,6,PLAYED
881,123.821,1983.7620,Piano,4,5,10,44,piano_snd010,0.15,True,True,5,PLAYED
882,124.187,1984.1161,Piano,3,7,17,44,piano_snd017,0.15,True,True,7,PLAYED
883,124.187,1984.1161,Piano,1,6,25,44,piano_snd025,0.15,True,True,6,PLAYED
884,124.187,1984.1161,Piano,4,5,10,44,piano_snd010,0.15,True,True,5,PLAYED
885,124.370,1984.3077,Piano,3,7,17,44,piano_snd017,0.15,True,True,7,PLAYED
886,124.370,1984.3077,Piano,4,5,10,44,piano_snd010,0.15,True,True,5,PLAYED
887,124.371,1984.3077,Piano,1,6,25,44,piano_snd025,0.15,True,True,6,PLAYED
888,124.521,1984.4586,Piano,1,6,25,44,piano_snd025,0.15,True,True,6,PLAYED
889,124.521,1984.4586,Piano,3,7,17,44,piano_snd017,0.15,True,True,7,PLAYED
890,124.554,1984.4876,Piano,4,5,10,44,piano_snd010,0.15,True,True,5,PLAYED
891,124.671,1984.6095,Piano,1,6,25,44,piano_snd025,0.15,True,True,6,PLAYED
892,124.671,1984.6095,Piano,4,5,10,44,piano_snd010,0.15,True,True,5,PLAYED
893,124.721,1984.6560,Piano,3,7,17,44,piano_snd017,0.15,True,True,7,PLAYED
894,124.888,1984.8301,Piano,1,6,25,44,piano_snd025,0.15,True,True,6,PLAYED
895,124.888,1984.8301,Piano,3,7,17,44,piano_snd017,0.15,True,True,7,PLAYED
896,124.920,1984.8591,Piano,4,5,10,44,piano_snd010,0.15,True,True,5,PLAYED
897,125.204,1985.1378,Piano,4,7,12,44,piano_snd012,0.15,True,True,7,PLAYED
898,125.204,1985.1378,Piano,0,0,24,44,piano_snd024,0.15,True,True,0,PLAYED
899,125.204,1985.1378,Piano,3,7,17,44,piano_snd017,0.15,True,True,7,PLAYED
900,125.537,1985.4687,Piano,4,8,13,44,piano_snd013,0.15,True,True,8,PLAYED
901,125.537,1985.4687,Piano,3,7,17,44,piano_snd017,0.15,True,True,7,PLAYED
902,125.538,1985.4687,Piano,2,7,22,44,piano_snd022,0.15,True,True,7,PLAYED
903,125.896,1985.8286,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
904,125.896,1985.8286,Piano,5,5,6,44,piano_snd006,0.15,True,True,5,PLAYED
905,125.897,1985.8286,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
906,125.897,1985.8286,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
907,126.213,1986.1537,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
908,126.213,1986.1537,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
909,126.213,1986.1537,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
910,126.213,1986.1537,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
911,126.397,1986.3336,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
912,126.397,1986.3336,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
913,126.397,1986.3336,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
914,126.397,1986.3336,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
915,126.563,1986.4961,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
916,126.564,1986.4961,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
917,126.564,1986.4961,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
918,126.564,1986.4961,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
919,126.747,1986.6877,Piano,0,5,29,44,piano_snd029,0.15,True,True,5,PLAYED
920,126.747,1986.6877,Piano,2,2,17,44,piano_snd017,0.15,True,True,2,PLAYED
921,126.747,1986.6877,Piano,3,5,15,44,piano_snd015,0.15,True,True,5,PLAYED
922,126.747,1986.6877,Piano,1,2,21,44,piano_snd021,0.15,True,True,2,PLAYED
